Donald Trump (Donald Trump),14228,en,81.43
Donald Trump (Donald Trump),14228,und,6.87
Donald Trump (Donald Trump),14228,ja,3.36
Donald Trump (Donald Trump),14228,fr,1.9
Donald Trump (Donald Trump),14228,es,1.84
Joe Biden (Joe Biden),11834,en,83.83
Joe Biden (Joe Biden),11834,und,5.05
Joe Biden (Joe Biden),11834,es,3.14
Joe Biden (Joe Biden),11834,fr,1.94
Joe Biden (Joe Biden),11834,de,1.47
Joe Biden (Joe Biden),11834,ja,1.35
Abe Shinzo (Abe Shinzo),10424,ja,95.53
Abe Shinzo (Abe Shinzo),10424,en,2.34
Abe Shinzo (Abe Shinzo),10424,und,1.73
Yoshihide Suga (Yoshihide Suga),10398,ja,92.75
Yoshihide Suga (Yoshihide Suga),10398,und,3.77
Yoshihide Suga (Yoshihide Suga),10398,en,3.17
Angela Merkel (Angela Merkel),9970,de,53.56
Angela Merkel (Angela Merkel),9970,en,21.83
Angela Merkel (Angela Merkel),9970,es,9.39
Angela Merkel (Angela Merkel),9970,fr,4.11
Angela Merkel (Angela Merkel),9970,und,3.71
Angela Merkel (Angela Merkel),9970,ja,2.17
Angela Merkel (Angela Merkel),9970,it,1.34
Angela Merkel (Angela Merkel),9970,tr,1.2
COVID-19 (COVID-19),3603,ja,32.69
COVID-19 (COVID-19),3603,en,31.22
COVID-19 (COVID-19),3603,de,22.09
COVID-19 (COVID-19),3603,es,5.16
COVID-19 (COVID-19),3603,und,4.36
COVID-19 (COVID-19),3603,fr,1.47
COVID-19 (COVID-19),3603,it,1.19
Tokyo 2021 Summer Olympics (Tokyo 2021 Summer Olympics),1306,ja,90.81
Tokyo 2021 Summer Olympics (Tokyo 2021 Summer Olympics),1306,en,6.89
Tokyo 2021 Summer Olympics (Tokyo 2021 Summer Olympics),1306,und,1.61
TV/Movies Related (TV/Movies Related),778,ja,51.67
TV/Movies Related (TV/Movies Related),778,en,40.87
TV/Movies Related (TV/Movies Related),778,und,4.63
Barack Obama (Barack Obama),714,en,47.62
Barack Obama (Barack Obama),714,de,29.69
Barack Obama (Barack Obama),714,ja,11.76
Barack Obama (Barack Obama),714,und,3.36
Barack Obama (Barack Obama),714,fr,3.36
Barack Obama (Barack Obama),714,nl,2.24
Tracy Beanz (Tracy Beanz),662,en,87.61
Tracy Beanz (Tracy Beanz),662,und,7.85
Tracy Beanz (Tracy Beanz),662,da,1.81
Tracy Beanz (Tracy Beanz),662,de,1.21
Kamala Harris (Kamala Harris),566,en,85.51
Kamala Harris (Kamala Harris),566,und,7.77
